TOPIC,SUBTOPIC,SUBTOPIC_ID,TAXONOMY,TAXONOMY_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,NESTING_LABEL,NESTING_LABEL_ID,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_LCI,ESTIMATE_UCI,FLAG,FOOTNOTE_ID_LIST
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,At least one full time equivalent employee,26,26,Licensed practical or vocational nurse,58,58,,,"Percent of providers, crude",4,2022,2,39.4,2.3,35,44,++,"FN_NPALS20,NA_NPALS22,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,At least one full time equivalent employee,26,26,Registered nurse,60,60,,,"Percent of providers, crude",4,2020,1,56,0.9,54.3,57.7,,"FN_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,At least one full time equivalent employee,26,26,Registered nurse,60,60,,,"Percent of providers, crude",4,2022,2,51.2,2.4,46.5,55.8,++,"FN_NPALS20,NA_NPALS22,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,At least one full time equivalent employee,26,26,Social worker,62,62,,,"Percent of providers, crude",4,2020,1,31.3,0.8,29.8,32.9,,"FN_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,At least one full time equivalent employee,26,26,Social worker,62,62,,,"Percent of providers, crude",4,2022,2,30.6,2.2,26.5,35.1,++,"FN_NPALS20,NA_NPALS22,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Daily FTE employee hours per participant,28,28,Activities director,54,54,,,Ratio of FTE hours per participant,20,2020,1,0.8,0,0.8,0.9,,"FN_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Daily FTE employee hours per participant,28,28,Activities director,54,54,,,Ratio of FTE hours per participant,20,2022,2,0.7,0.1,0.6,0.8,+,"FN_NPALS20,NA_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Daily FTE employee hours per participant,28,28,Aide,56,56,,,Ratio of FTE hours per participant,20,2020,1,0.8,0,0.8,0.9,,"FN_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Daily FTE employee hours per participant,28,28,Aide,56,56,,,Ratio of FTE hours per participant,20,2022,2,0.9,0.1,0.8,1.1,+,"FN_NPALS20,NA_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Daily FTE employee hours per participant,28,28,Licensed practical or vocational nurse,58,58,,,Ratio of FTE hours per participant,20,2020,1,0.2,0,0.2,0.2,,"FN_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Daily FTE employee hours per participant,28,28,Licensed practical or vocational nurse,58,58,,,Ratio of FTE hours per participant,20,2022,2,0.2,0,0.2,0.3,+,"FN_NPALS20,NA_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Daily FTE employee hours per participant,28,28,Registered nurse,60,60,,,Ratio of FTE hours per participant,20,2020,1,0.4,0,0.3,0.4,,"FN_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Daily FTE employee hours per participant,28,28,Registered nurse,60,60,,,Ratio of FTE hours per participant,20,2022,2,0.5,0.1,0.3,0.6,+,"FN_NPALS20,NA_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Daily FTE employee hours per participant,28,28,Social worker,62,62,,,Ratio of FTE hours per participant,20,2020,1,0.1,0,0.1,0.1,,"FN_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Daily FTE employee hours per participant,28,28,Social worker,62,62,,,Ratio of FTE hours per participant,20,2022,2,0.1,0,0.1,0.2,+,"FN_NPALS20,NA_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,FTE employee type,34,34,Aide,56,56,,,"Percent of total nursing and social work FTE employees, crude",26,2020,1,53,0.9,51.2,54.8,,"FN_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,FTE employee type,34,34,Aide,56,56,,,"Percent of total nursing and social work FTE employees, crude",26,2022,2,57.2,4.1,49.3,65.2,,"FN_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,FTE employee type,34,34,Licensed practical or vocational nurse,58,58,,,"Percent of total nursing and social work FTE employees, crude",26,2020,1,9.4,0.3,8.9,9.9,,"FN_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,FTE employee type,34,34,Licensed practical or vocational nurse,58,58,,,"Percent of total nursing and social work FTE employees, crude",26,2022,2,11.2,1.4,8.4,14,+,"FN_NPALS20,NA_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,FTE employee type,34,34,Registered nurse,60,60,,,"Percent of total nursing and social work FTE employees, crude",26,2020,1,27,0.8,25.4,28.5,,"FN_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,FTE employee type,34,34,Registered nurse,60,60,,,"Percent of total nursing and social work FTE employees, crude",26,2022,2,22.1,2.4,17.4,26.8,+,"FN_NPALS20,NA_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,FTE employee type,34,34,Social worker,62,62,,,"Percent of total nursing and social work FTE employees, crude",26,2020,1,10.6,0.3,9.9,11.3,,"FN_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,FTE employee type,34,34,Social worker,62,62,,,"Percent of total nursing and social work FTE employees, crude",26,2022,2,9.5,1.2,7.1,11.8,,"FN_NPALS20,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Dementia care,36,36,Specializes in dementia care and only serves participants with dementia,64,64,,,"Percent of providers, crude",4,2020,1,4,0.4,3.4,4.8,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Dementia care,36,36,Specializes in dementia care and only serves participants with dementia,64,64,,,"Percent of providers, crude",4,2022,2,4.2,1,2.7,6.6,++,"NA_NPALS22,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Dementia care,36,36,Specializes in dementia and serves participants with and without dementia,70,70,,,"Percent of providers, crude",4,2020,1,14.3,0.6,13.1,15.6,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Dementia care,36,36,Specializes in dementia and serves participants with and without dementia,70,70,,,"Percent of providers, crude",4,2022,2,17.1,1.8,13.7,21,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Services provided,38,38,Dietary and nutritional,76,76,,,"Percent of providers, crude",4,2020,1,56.7,0.9,55,58.3,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Services provided,38,38,Dietary and nutritional,76,76,,,"Percent of providers, crude",4,2022,2,54.4,2.5,49.4,59.3,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Services provided,38,38,Hospice,78,78,,,"Percent of providers, crude",4,2020,1,25.9,0.8,24.3,27.5,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Services provided,38,38,Hospice,78,78,,,"Percent of providers, crude",4,2022,2,12.9,1.7,9.9,16.7,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Services provided,38,38,Mental health or counseling,80,80,,,"Percent of providers, crude",4,2020,1,36.1,0.9,34.4,37.9,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Services provided,38,38,Mental health or counseling,80,80,,,"Percent of providers, crude",4,2022,2,20.9,2,17.3,25.1,++,"NA_NPALS22,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Services provided,38,38,Pharmaceutical,82,82,,,"Percent of providers, crude",4,2020,1,28.5,0.8,26.9,30.1,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Services provided,38,38,Pharmaceutical,82,82,,,"Percent of providers, crude",4,2022,2,14.1,1.7,11.2,17.7,++,"NA_NPALS22,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Services provided,38,38,"Physical, occupational, or speech therapy",84,84,,,"Percent of providers, crude",4,2020,1,36,0.9,34.3,37.8,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Services provided,38,38,"Physical, occupational, or speech therapy",84,84,,,"Percent of providers, crude",4,2022,2,30.5,2.3,26.1,35.3,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Services provided,38,38,Skilled nursing,86,86,,,"Percent of providers, crude",4,2020,1,55.8,0.8,54.2,57.5,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Services provided,38,38,Skilled nursing,86,86,,,"Percent of providers, crude",4,2022,2,51.7,2.3,47.1,56.3,++,"NA_NPALS22,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Services provided,38,38,Social work,88,88,,,"Percent of providers, crude",4,2020,1,45.3,0.9,43.6,47,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Adult day services center,1,Healthcare capacity,160,Other Characteristic,4,Services provided,38,38,Social work,88,88,,,"Percent of providers, crude",4,2022,2,37.4,2.4,32.8,42.3,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Home health agency,2,Healthcare capacity,160,Total,0,Total,0,0,Total,0,0,,,Number of providers,18,2020,1,11400,,,,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Home health agency,2,Healthcare capacity,160,Total,0,Total,0,0,Total,0,0,,,Number of providers,18,2022,2,11500,,,,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Home health agency,2,Healthcare capacity,160,Geographic Characteristic,2,Metropolitan statistical area,2,2,Metropolitan,6,6,,,"Percent of total providers, crude",2,2020,1,86.3,0.3,85.6,86.9,,"FN_NPALS22,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Home health agency,2,Healthcare capacity,160,Geographic Characteristic,2,Metropolitan statistical area,2,2,Metropolitan,6,6,,,"Percent of total providers, crude",2,2022,2,87,0.3,86.4,87.6,,"FN_NPALS22,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Home health agency,2,Healthcare capacity,160,Geographic Characteristic,2,Metropolitan statistical area,2,2,Micropolitan,8,8,,,"Percent of total providers, crude",2,2020,1,7.9,0.3,7.4,8.4,,"FN_NPALS22,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Home health agency,2,Healthcare capacity,160,Geographic Characteristic,2,Metropolitan statistical area,2,2,Micropolitan,8,8,,,"Percent of total providers, crude",2,2022,2,7.5,0.2,7,8,,"FN_NPALS22,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Home health agency,2,Healthcare capacity,160,Geographic Characteristic,2,Metropolitan statistical area,2,2,Neither,10,10,,,"Percent of total providers, crude",2,2020,1,5.8,0.2,5.4,6.3,,"FN_NPALS22,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Home health agency,2,Healthcare capacity,160,Geographic Characteristic,2,Metropolitan statistical area,2,2,Neither,10,10,,,"Percent of total providers, crude",2,2022,2,5.6,0.2,5.1,6,,"FN_NPALS22,NT_NPALS01,NT_NPALS14,SC_NPALS12"
Post-acute and long-term care providers:,Home health agency,2,Healthcare capacity,160,Geographic Characteristic,2,Region,4,4,Northeast,12,12,,,"Percent of total providers, crude",2,2020,1,9,0.3,8.5,9.6,,"NT_NPALS01,NT_NPALS14,SC_NPALS12"
